geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
39,Compression,1.3777,0.00717073,0.999444,0.6488,1.2217,1.4223,1.9033,10.025,59250.0660528,0.907806,1.2214,4.7081,7.0303,10.4398,9.9379,58625.4866959,0.908523,1.2147,4.5448,6.811,10.0979
39,Lateral bending,1.0539,0.00498672,0.999746,0.4406,0.8315,0.9582,1.2207,13.3589,273771.16937718,0.922182,0.9011,5.1426,6.9617,10.4867,13.402,272203.31062933,0.922228,0.8089,4.5523,6.1758,9.0549
40,Compression,1.5284,0.00782724,0.99913,0.722,1.3418,1.5589,1.9858,11.1745,54135.19130867,0.325366,1.4097,4.8639,7.1961,13.4682,11.1048,53489.70386076,0.315943,1.3794,4.6578,6.8244,13.3061
40,Lateral bending,1.5864,0.00705621,0.999397,0.5984,1.2185,1.4239,1.8069,18.2792,411574.96263545,0.836145,1.6537,6.3525,7.6523,10.4509,18.3603,410757.67501167,0.836754,1.479,5.6669,6.8246,9.2482
41,Compression,1.5254,0.00782881,0.99917,0.7113,1.3457,1.5504,2.0138,10.1513,46356.98568841,0.568167,1.1415,4.3115,6.5766,12.7413,10.0135,45629.72565956,0.569593,1.1193,4.1978,6.2362,12.1619
41,Lateral bending,1.3272,0.00605877,0.999582,0.5197,1.0089,1.1738,1.4994,15.8442,289617.8873043,0.859649,1.2928,5.2662,7.0128,10.5041,15.8252,287730.00046088,0.862048,1.1512,4.6857,6.204,9.2458
42,Compression,1.5779,0.00825804,0.99923,0.7604,1.3585,1.5751,2.0775,9.0369,55391.58405658,0.913746,1.2136,4.0554,6.2761,10.7102,8.9276,54608.79071838,0.914806,1.2035,3.9084,5.9704,9.7697
42,Lateral bending,1.0872,0.00519967,0.999717,0.4521,0.8622,0.9974,1.2903,13.0128,259363.289256,0.919153,1.1555,4.5569,6.175,11.9093,12.974,257410.67463546,0.920465,1.0298,4.056,5.4902,10.1793
43,Compression,1.8684,0.0091182,0.998873,0.8026,1.5199,1.7984,2.7317,9.703,39618.27638192,0.813723,1.4727,4.1007,6.0061,12.5703,9.3354,38798.75934959,0.824925,1.4634,4.0084,5.7381,11.0433
43,Lateral bending,1.9592,0.00846045,0.999064,0.6795,1.379,1.6744,2.4556,14.9415,168503.01035077,0.835159,1.3791,4.6574,6.4434,10.1122,14.7274,166615.16846965,0.842779,1.2275,4.1069,5.6983,8.6651
44,Compression,1.4182,0.00711311,0.999296,0.631,1.2151,1.4337,2.063,9.5152,45260.02025224,0.771398,1.0479,3.9866,6.2127,12.0769,9.3945,44542.49446024,0.773049,1.0352,3.8784,5.8815,11.2825
44,Lateral bending,1.4119,0.0065057,0.999524,0.5737,1.0513,1.207,1.5148,14.0397,256822.2021949,0.891802,1.1722,4.5805,6.274,9.8794,14.027,254909.36686977,0.893481,1.0457,4.0711,5.5524,8.5869
45,Compression,1.509,0.0078535,0.999376,0.6995,1.3541,1.5884,2.2042,10.6199,61031.00471182,0.919594,1.0191,4.9566,7.1072,10.8309,10.5604,60538.57711578,0.919904,1.0107,4.8044,7.0256,10.7804
45,Lateral bending,1.0935,0.00528581,0.99973,0.4677,0.8861,1.0257,1.2998,13.891,299958.73427172,0.92595,1.1254,5.4519,7.1379,12.0406,13.9087,298612.59838635,0.926041,1.0062,4.8271,6.3499,10.5892
46,Compression,2.6151,0.01221323,0.99828,1.0709,2.1014,2.5017,3.5955,16.5267,116410.03487762,0.83496,2.862,8.0313,10.1222,16.8699,16.3405,115301.53235421,0.837895,2.8339,7.9144,9.9205,16.4694
46,Lateral bending,1.6746,0.00825446,0.999336,0.7108,1.364,1.6109,2.2153,19.5856,358363.83294543,0.846976,2.4296,6.6743,9.0022,20.3824,19.4318,356152.64153806,0.850037,2.1696,5.9274,7.929,18.0415
47,Compression,1.3636,0.0071492,0.999364,0.6449,1.2012,1.4072,2.013,10.1138,49072.14115358,0.818308,1.0675,4.4353,6.7178,12.1508,10.0404,48519.91428371,0.818621,1.0619,4.3082,6.4425,12.1728
47,Lateral bending,1.2552,0.0059554,0.999618,0.5245,0.9784,1.1275,1.4356,15.1022,313498.44968312,0.891403,1.2484,5.108,6.7149,9.8432,15.1587,312201.25518844,0.891724,1.1165,4.5391,5.9745,8.5487
48,Compression,1.6904,0.00852066,0.999005,0.7599,1.4652,1.7106,2.3247,10.6726,45693.62668641,0.602727,1.4055,4.4168,6.6233,13.5401,10.3824,44800.21039316,0.615111,1.3851,4.2903,6.2584,11.959
48,Lateral bending,1.4805,0.00670779,0.99947,0.5636,1.098,1.2815,1.7075,14.7432,199201.79011331,0.841861,1.3498,4.2033,6.4194,10.5814,14.6283,197161.60420688,0.847506,1.2019,3.7084,5.6626,9.1625
49,Compression,1.7467,0.00864023,0.998908,0.7569,1.4951,1.7675,2.5521,10.7677,47631.63630932,0.491839,1.5348,4.5704,6.5598,13.3141,10.4532,46757.8169625,0.507873,1.5063,4.4495,6.1997,10.9796
49,Lateral bending,1.7996,0.00800639,0.999201,0.6554,1.3339,1.6027,2.1573,16.2491,215029.60872061,0.794734,1.5353,4.8514,7.057,11.5437,16.1346,212951.81380397,0.802409,1.3661,4.296,6.2323,10.0707
50,Compression,1.5224,0.00764974,0.999157,0.6808,1.3255,1.5617,2.081,10.2755,55417.90375185,0.624671,1.2314,4.2991,6.5646,13.4308,10.0591,54383.1023877,0.63122,1.208,4.1574,6.1474,11.8437
50,Lateral bending,1.3942,0.0063143,0.99953,0.5419,1.0416,1.2127,1.573,14.5581,277882.19128278,0.870723,1.2871,4.4494,6.555,10.8094,14.4978,275210.05064807,0.87441,1.1431,3.9687,5.7706,9.4031
51,Compression,1.4563,0.00744289,0.999327,0.6798,1.2329,1.4218,1.8346,8.0264,36326.31566453,0.907,1.2533,3.5265,4.6792,9.371,7.8235,35733.99458208,0.91059,1.2515,3.4631,4.4935,8.394
