geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
32,Compression,1.3203,0.00566601,0.999486,0.484,0.9655,1.132,1.4494,9.5013,108137.71955886,0.910063,1.5094,4.6885,7.1593,13.5187,8.4036,99503.63260481,0.928753,1.4496,4.0588,5.8902,11.2501
32,Lateral bending,1.3839,0.00642799,0.99954,0.5774,1.1281,1.3195,1.7235,12.4847,333206.00899283,0.922242,0.979,3.1376,5.2073,9.4386,12.3876,327317.69207264,0.925849,0.8655,2.6993,4.5777,8.492
33,Compression,1.1624,0.00516263,0.99959,0.4425,0.8786,1.0365,1.3702,9.177,96110.39816414,0.927363,1.0903,4.7342,7.1896,12.674,8.1838,87001.22092366,0.941574,1.0133,3.9997,6.1775,11.2505
33,Lateral bending,1.2002,0.00589704,0.999632,0.5283,1.0449,1.2291,1.6244,14.1886,354841.37432765,0.907235,0.9978,3.7569,6.1224,11.5377,14.0332,350378.32029591,0.912333,0.8816,3.3243,5.5051,10.3226
34,Compression,1.6849,0.00739456,0.999208,0.6214,1.2291,1.459,1.9754,10.0479,73799.6669554,0.924231,1.5027,5.2297,7.4406,13.1147,9.0519,67617.87961816,0.937887,1.2781,4.0967,5.937,10.4381
34,Lateral bending,2.4173,0.01280789,0.998467,1.2044,2.14,2.4368,3.0473,16.4228,224990.04997207,0.877194,1.057,4.4486,7.5705,13.1111,16.1345,222102.88713155,0.88563,0.9244,4.0402,6.8399,11.7831
35,Compression,1.4382,0.00589043,0.999436,0.5015,1.0188,1.2086,1.6196,11.2175,125320.22906698,0.877068,1.4384,6.043,8.7129,15.7015,10.096,114464.72321248,0.898878,1.3336,5.1065,7.5351,14.1422
35,Lateral bending,1.5737,0.00721657,0.99944,0.6716,1.2161,1.4013,1.7646,15.5355,474686.03133099,0.873126,1.2794,4.4347,6.53,11.9899,15.2917,466320.75879997,0.88207,1.1056,3.993,5.8812,10.7044
36,Compression,1.5791,0.00648675,0.999386,0.5524,1.106,1.33,1.8115,9.2608,119741.94597997,0.932978,1.4172,5.1373,7.1187,11.5463,8.822,115209.21001829,0.938317,1.3718,4.6356,6.4466,10.9157
36,Lateral bending,1.8127,0.00856828,0.999242,0.7484,1.5778,1.8396,2.3434,13.9926,383581.10816427,0.894365,1.2317,4.3297,6.2286,13.4133,13.837,381348.33284134,0.900654,1.0912,3.8847,5.5849,12.1109
37,Compression,1.4819,0.00603114,0.9994,0.5158,1.0317,1.241,1.7922,10.4571,168101.63535527,0.896856,1.2995,5.4797,8.0854,14.9912,9.7047,156988.27331431,0.909867,1.2347,4.7727,7.2377,13.9339
37,Lateral bending,1.4454,0.00654311,0.999524,0.5896,1.1425,1.3416,1.7907,13.7694,607212.47800729,0.901511,1.108,4.2808,5.9055,11.1022,13.779,599981.02975926,0.904739,0.9662,3.8336,5.3495,10.0334
38,Compression,1.4042,0.00608306,0.999399,0.5202,1.033,1.2085,1.5617,10.628,103961.40704743,0.888295,1.4829,5.4161,8.1269,14.7879,9.4051,95206.32101412,0.911429,1.4109,4.5742,6.7017,12.8184
38,Lateral bending,1.449,0.00681467,0.999487,0.6172,1.1835,1.3828,1.7758,14.3194,354169.63933496,0.900384,1.043,3.79,6.1943,10.1851,14.1177,347725.95174307,0.906619,0.9181,3.3176,5.5626,9.0398
39,Compression,1.4193,0.00653197,0.999372,0.5694,1.0591,1.2222,1.5492,8.3765,60994.56898657,0.940339,1.1395,4.0521,6.1434,11.4672,7.2244,54007.48509892,0.955152,1.0055,3.261,4.7283,9.2592
39,Lateral bending,1.478,0.00725208,0.999422,0.6246,1.3585,1.592,2.017,12.5287,216769.09280451,0.930851,1.0826,3.0082,4.4646,9.1239,12.4392,214181.92664409,0.933974,0.9416,2.6744,3.9341,8.4127
40,Compression,1.952,0.00849964,0.998908,0.6939,1.4579,1.7782,2.567,9.6954,98505.2643973,0.935345,1.6301,4.9315,6.9416,11.5066,8.8191,91276.98653676,0.94617,1.4155,4.0611,5.4791,9.5485
40,Lateral bending,2.9087,0.01697019,0.997534,1.6303,2.595,2.8983,3.5195,16.2463,311833.74210417,0.886309,1.608,4.4172,6.4353,12.7636,16.0185,308481.7082583,0.892683,1.4167,3.9247,5.7037,11.5793
41,Compression,1.2397,0.00510032,0.999593,0.4335,0.8686,1.0305,1.3978,8.6132,109740.16093239,0.93352,1.1098,4.6716,7.1327,11.0378,7.9568,102048.448076,0.942535,1.0467,4.0537,6.2508,10.3244
41,Lateral bending,1.2471,0.00569201,0.99964,0.5038,1.035,1.2257,1.6042,12.2227,345125.0463801,0.919288,0.8554,3.3156,5.3246,11.4642,12.1533,342689.48519722,0.923011,0.7579,2.9554,4.8163,10.3634
42,Compression,1.2799,0.0057173,0.999511,0.4838,0.9636,1.153,1.5566,7.7,88814.48728532,0.95444,1.1155,3.9636,6.0251,9.6,7.156,83006.08420478,0.960312,1.0518,3.529,5.156,8.7545
